NIH Spending Categorization,Project Terms,Project Title,Public Health Relevance,Administering  IC,Application ID,Award Notice Date,FOA,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Program Official Information ,Project Start Date,Project End Date,Study Section,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Congressional District,Department,DUNS Number,FIPS,Latitude,Longitude,Organization ID (IPF),Organization Name,Organization City,Organization State,Organization Type,Organization Zip,Organization Country,ARRA Indicator,Budget Start Date,Budget End Date,CFDA Code,Funding Mechanism,FY,Funding IC,FY Direct Costs,FY Indirect Costs,FY Total Cost by IC,FY Total Cost (Sub Projects),
No NIH Category available.,"","SPONTANEOUS CORTICAL ACTIVITY",n/a,"NINDS","2261463","29-SEP-1994","",1F33NS009623-01X1,1,F33,NS,009623,01,X1,Unavailable,"1-FEB-1995","","Special Emphasis Panel (BNS-1)",,"7126459","ABBOTT, DEREK W",Not Applicable,n/a,"Unavailable","368904988","FI","60.16952","24.93545","3298401","UNIVERSITY OF HELSINKI","HELSINKI","","Unavailable","00014","FINLAND", ,"4-AUG-1994","3-AUG-1995","",Training; Individual,1994,NINDS,,,3000,
No NIH Category available.,"","SPONTANEOUS CORTICAL ACTIVITY",n/a,"NINDS","2261461","4-AUG-1994","",1F33NS009623-01,1,F33,NS,009623,01,,Unavailable,"1-FEB-1995","","Special Emphasis Panel (BNS-1)",,"7126459","ABBOTT, DEREK W",Not Applicable,n/a,"Unavailable","368904988","FI","60.16952","24.93545","3298401","UNIVERSITY OF HELSINKI","HELSINKI","","Unavailable","00014","FINLAND", ,"4-AUG-1994","3-AUG-1995","",Training; Individual,1994,NINDS,,,32300,
No NIH Category available.,"ataxia;cerebellar Purkinje cell;electrophysiology;genetic strain;high performance liquid chromatography;innervation;laboratory mouse;locus coeruleus;morphology;nervous system disorder;neuroanatomy;neurochemistry;norepinephrine;synapses;","CEREBELLAR FUNCTION",n/a,"NINDS","2259747","17-DEC-1993","",1K08NS001681-01,1,K08,NS,001681,01,,Unavailable,"1-JAN-1994","31-OCT-1994","Special Emphasis Panel (NST (08))",,"1862737","ABBOTT, LOUISE C",Not Applicable,"15","VETERINARY SCIENCES","041544081","US","40.094458","-88.238635","577704","UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN","CHAMPAIGN","IL","SCHOOLS OF VETERINARY MEDICINE","61820-7406","UNITED STATES", ,"1-JAN-1994","31-OCT-1994","",,1994,NINDS,,,78328,
No NIH Category available.,"","BIOCHEMICAL AND MOLECULAR PROPERTIES OF MAO A AND B",n/a,"NINDS","2265422","8-NOV-1993","",5R01NS024932-08,5,R01,NS,024932,08,,Unavailable,"1-DEC-1986","30-NOV-1995","Neurological Sciences Subcommittee 1 (NLS-1) ",,"1959418","ABELL, CREED W",Not Applicable,"21","PHARMACOLOGY","170230239","US","30.308138","-97.764903","578403","UNIVERSITY OF TEXAS AUSTIN","AUSTIN","TX","SCHOOLS OF PHARMACY","78759-5316","UNITED STATES", ,"1-DEC-1993","30-NOV-1995","",Research Projects,1994,NINDS,,,251744,
No NIH Category available.,"Annelida;axon;axoplasm;biological signal transduction;calcium binding protein;calcium channel;calcium metabolism;cell cell interaction;cell differentiation;clathrate;diffusion;electrodes;endoplasmic reticulum;hormone regulation /control mechanism;hydrogen channel;inositol;ion transport;microelectrodes;mitochondria;photolysis;","INTRACELLULAR H+ AND CA++ IN MYXICOLA AXON",n/a,"NINDS","2263543","8-JUL-1994","",5R01NS019194-13,5,R01,NS,019194,13,,Unavailable,"1-MAY-1982","31-AUG-1997","Physiology Study Section (PHY) ",,"1861553","ABERCROMBIE, RONALD F",Not Applicable,"04","PHYSIOLOGY","066469933","US","33.762977","-84.42296","2384501","EMORY UNIVERSITY","ATLANTA","GA","SCHOOLS OF MEDICINE","30322-4250","UNITED STATES", ,"1-SEP-1994","31-AUG-1995","",,1994,NINDS,,,172466,
No NIH Category available.,"acetylcholinesterase;active sites;affinity labeling;alternatives to animals in research;animal poison;Baculoviridae;clone cells;conformation;crosslink;fish electric organ;high performance liquid chromatography;neuropharmacology;neurotoxins;nicotinic receptors;protein structure function;radiotracer;site directed mutagenesis;Torpedo;transfection;","STRUCTURE AND PHARMACOLOGY OF CHOLINERGIC PROTEINS",n/a,"NINDS","2268029","25-MAR-1994","",5R29NS029951-03,5,R29,NS,029951,03,,Unavailable,"1-APR-1992","31-MAR-1997","Neurological Sciences Subcommittee 1 (NLS-1) ",,"1922294","ABRAMSON, STEWART N",Not Applicable,"14","PHARMACOLOGY","004514360","US","40.444001","-79.956102","2059802","UNIVERSITY OF PITTSBURGH AT PITTSBURGH","PITTSBURGH","PA","SCHOOLS OF MEDICINE","15213-2303","UNITED STATES", ,"1-APR-1994","31-MAR-1995","",,1994,NINDS,,,96864,
No NIH Category available.,"African American;alleles;case history;caucasian American;central nervous system disorders;chromosome walking;genetic library;genetic markers;genome;genotype;histocompatibility gene;human genetic material tag;human population genetics;human subject;immunofluorescence technique;linkage mapping;major histocompatibility complex;molecular cloning;narcolepsy;nervous system disorder epidemiology;nucleic acid probes;nucleic acid sequence;restriction fragment length polymorphism;sign /symptom;sleep disorders;statistics /biometry;western blottings;","GENETIC EPIDEMIOLOGY OF NARCOLEPSY",n/a,"NINDS","2266108","29-JUL-1994","",5R01NS026795-05,5,R01,NS,026795,05,,Unavailable,"1-SEP-1990","31-JUL-1995","Epidemiology and Disease Control Subcommittee 2 (EDC-2) ",,"1898670","ACTON, RONALD T.",Not Applicable,"07","MICROBIOLOGY/IMMUN/VIROLOGY","063690705","US","33.506935","-86.809252","1288803","UNIVERSITY OF ALABAMA AT BIRMINGHAM","BIRMINGHAM","AL","SCHOOLS OF DENTISTRY","35294-0001","UNITED STATES", ,"1-AUG-1994","31-JUL-1995","",,1994,NINDS,,,337995,
No NIH Category available.,"acute disease /disorder;anticoagulants;cardiovascular agents;cerebral hemorrhage;cerebral ischemia /hypoxia;cerebrovascular disorder diagnosis;cerebrovascular occlusions;clinical trials;computed axial tomography;cooperative study;embolism;human mortality;human subject;human therapy evaluation;longitudinal human study;medical complication;patient monitoring device;placebos;prognosis;relapse /recurrence;statistics /biometry;stroke;","RANDOMIZED TRIAL OF ORG-10172 IN ACUTE ISCHEMIC STROKE",n/a,"NINDS","2266612","16-FEB-1994","",5R01NS027863-05,5,R01,NS,027863,05,,Unavailable,"1-JAN-1990","31-DEC-1994","Special Emphasis Panel (NEUA (S1))",,"1959376","ADAMS, HAROLD P.",Not Applicable,"02","NEUROLOGY","062761671","US","41.662689","-91.547715","3972901","UNIVERSITY OF IOWA","IOWA CITY","IA","SCHOOLS OF MEDICINE","52242-1320","UNITED STATES", ,"18-FEB-1994","31-DEC-1994","",,1994,NINDS,,,1299045,
No NIH Category available.,"","NEW MODEL FOR BRAIN OXIDATIVE STRESS",n/a,"NINDS","2267617","7-MAR-1994","",5R01NS029442-03,5,R01,NS,029442,03,,Unavailable,"1-MAR-1992","28-FEB-1996","Neurological Sciences Subcommittee 1 (NLS-1) ",,"1859632","ADAMS, JAMES DAVID",Not Applicable,"33","PHARMACOLOGY","072933393","US","34.065915","-118.196446","7636101","UNIVERSITY OF SOUTHERN CALIFORNIA","LOS ANGELES","CA","SCHOOLS OF PHARMACY","90089-0701","UNITED STATES", ,"2-MAR-1994","28-FEB-1996","",Research Projects,1994,NINDS,,,102950,
No NIH Category available.,"","NOVEL SYNAPTIC ANTAGONISTS FROM VENOMS",n/a,"NINDS","2265250","18-NOV-1993","",5R01NS024472-08,5,R01,NS,024472,08,,Unavailable,"1-DEC-1986","30-NOV-1995","Toxicology Subcommittee 2 (TOX) ",,"1959422","ADAMS, MICHAEL E",Not Applicable,"07","ZOOLOGY","627797426","US","33.975613","-117.331132","577506","UNIVERSITY OF CALIFORNIA RIVERSIDE","RIVERSIDE","CA","SCHOOLS OF  EARTH SCIENCES/NATURAL RESOURCES","92521-0001","UNITED STATES", ,"1-DEC-1993","30-NOV-1995","",Research Projects,1994,NINDS,,,178893,
